Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type,Casualty_IMD_Decile
2019200821500,2,1,1,1,88,11,2,0,0,0,0,0,1,-1,-1
2019200821543,1,1,3,1,51,8,3,6,9,0,0,2,0,1,3
2019200821572,2,1,1,2,59,9,3,0,0,0,0,0,90,1,2
2019200821576,1,1,1,1,19,4,2,0,0,0,0,0,3,1,1
2019200821640,2,1,2,2,2,1,3,0,0,2,0,0,9,-1,-1
2019200821640,2,2,2,2,18,4,3,0,0,1,0,0,9,1,6
2019200822000,1,1,1,2,61,9,3,0,0,0,0,0,9,1,1
2019200822062,2,1,1,1,48,8,3,0,0,0,0,0,9,1,2
2019200822101,2,1,1,1,66,10,3,0,0,0,0,0,9,1,1
2019200822105,1,1,3,1,48,8,3,6,9,0,0,2,0,1,10
2019200822106,1,1,2,2,64,9,3,0,0,1,0,0,9,-1,-1
2019200822208,1,1,3,1,23,5,2,5,3,0,0,2,0,1,4
2019200822245,1,1,1,1,37,7,3,0,0,0,0,0,4,1,7
2019200822255,2,2,1,1,36,7,3,0,0,0,0,0,9,1,1
2019200822312,1,1,1,1,53,8,3,0,0,0,0,0,9,1,1
2019200822356,1,1,1,2,38,7,3,0,0,0,0,0,3,1,5
2019200822401,1,1,3,1,41,7,2,9,5,0,0,2,0,1,6
2019200822447,1,1,3,1,12,3,3,5,1,0,0,0,0,1,1
2019200822458,1,1,3,1,51,8,3,6,9,0,0,2,0,1,3
2019200822464,2,1,1,2,24,5,3,0,0,0,0,0,9,1,6
2019200822505,1,1,1,2,26,6,3,0,0,0,0,0,9,1,2
2019200822550,1,1,1,2,39,7,3,0,0,0,0,0,9,1,1
2019200822550,2,2,1,2,60,9,3,0,0,0,0,0,9,1,1
2019200822550,3,3,1,2,36,7,3,0,0,0,0,0,9,1,2
2019200822553,1,1,3,1,31,6,2,5,3,0,0,2,0,1,1
2019200822630,1,1,1,1,36,7,3,0,0,0,0,0,9,-1,-1
2019200822633,1,1,1,1,20,4,3,0,0,0,0,0,9,1,1
2019200822671,2,1,1,2,20,4,3,0,0,0,0,0,9,1,2
2019200822671,3,2,1,2,21,5,3,0,0,0,0,0,9,1,2
2019200822672,1,1,3,1,28,6,3,5,3,0,0,2,0,1,5
2019200822673,2,1,1,1,7,2,3,0,0,0,0,0,1,-1,-1
2019200822812,1,1,2,1,16,4,3,0,0,2,0,0,9,1,1
2019200822812,1,2,2,1,21,5,3,0,0,1,0,0,9,1,9
2019200822812,2,3,1,1,33,6,3,0,0,0,0,0,9,1,3
2019200822891,2,1,2,2,68,10,3,0,0,1,0,0,9,1,10
2019200822918,1,1,3,2,94,11,2,5,9,0,0,0,0,1,6
2019200822956,2,1,1,1,60,9,3,0,0,0,0,0,5,1,3
2019200823031,4,1,1,1,37,7,3,0,0,0,0,0,11,1,1
2019200823047,2,1,1,1,55,8,2,0,0,0,0,0,1,1,1
2019200823101,2,1,1,1,54,8,3,0,0,0,0,0,1,1,1
2019200823253,2,1,1,2,19,4,3,0,0,0,0,0,9,1,2
2019200823253,2,2,2,2,39,7,3,0,0,1,0,0,9,1,2
2019200823281,2,1,1,1,27,6,3,0,0,0,0,0,9,1,4
2019200823299,1,1,3,2,32,6,3,9,5,0,0,2,0,1,1
2019200823325,1,2,2,1,41,7,2,0,0,1,0,0,9,-1,-1
2019200823325,1,3,2,1,36,7,3,0,0,2,0,0,9,-1,-1
2019200823325,3,1,1,2,26,6,3,0,0,0,0,0,9,-1,-1
2019200823384,2,1,1,1,26,6,2,0,0,0,0,0,1,1,2
2019200823425,1,1,3,1,29,6,3,5,2,0,0,2,0,1,3
2019200823447,1,1,3,2,4,1,3,1,3,0,0,0,0,-1,-1
2019200823468,2,1,1,1,42,7,3,0,0,0,0,0,9,1,1
2019200823531,1,1,1,2,25,5,3,0,0,0,0,0,9,1,5
2019200823615,1,1,2,2,1,1,3,0,0,2,0,0,9,-1,-1
2019200823712,1,1,1,1,-1,-1,2,0,0,0,0,0,9,-1,-1
2019200823712,2,2,1,2,74,10,3,0,0,0,0,0,11,1,2
2019200823712,2,3,2,2,42,7,3,0,0,0,4,0,11,1,6
2019200823721,1,1,3,1,67,10,3,5,1,0,0,0,0,1,1
2019200824062,1,1,3,2,34,6,3,5,1,0,0,2,0,1,2
2019200824093,1,1,1,1,32,6,3,0,0,0,0,0,9,-1,-1
2019200824143,2,1,1,2,53,8,2,0,0,0,0,0,1,1,5
2019200824152,3,1,1,1,35,6,3,0,0,0,0,0,19,1,1
2019200824183,1,1,3,1,15,3,3,5,1,0,0,0,0,1,1
2019200824211,1,1,1,1,57,9,3,0,0,0,0,0,19,1,2
2019200824277,1,1,3,1,35,6,1,9,5,0,0,2,0,-1,-1
2019200824295,2,1,1,1,20,4,2,0,0,0,0,0,1,1,1
2019200824300,2,1,2,2,21,5,3,0,0,2,0,0,9,1,5
2019200824300,2,2,2,2,43,7,3,0,0,1,0,0,9,1,5
2019200824401,1,1,3,1,-1,-1,3,5,1,0,0,2,0,1,1
2019200824403,1,1,1,2,80,11,2,0,0,0,0,0,9,1,3
2019200824473,2,1,1,1,34,6,3,0,0,0,0,0,1,1,2
2019200824473,2,2,2,1,10,2,3,0,0,0,0,0,1,1,1
2019200824487,2,1,1,1,-1,-1,3,0,0,0,0,0,8,1,2
2019200824487,2,2,2,2,21,5,3,0,0,2,0,0,8,1,1
2019200824487,2,3,2,1,2,1,3,0,0,2,0,0,8,1,1
2019200824542,1,1,1,1,49,8,3,0,0,0,0,0,9,1,6
2019200824582,2,2,1,2,58,9,3,0,0,0,0,0,9,1,2
2019200824582,2,3,2,2,54,8,3,0,0,1,0,0,9,1,5
2019200824589,1,1,1,2,22,5,3,0,0,0,0,0,9,1,1
2019200824671,2,1,1,1,30,6,3,0,0,0,0,0,9,1,1
2019200824671,2,2,2,2,25,5,3,0,0,2,0,0,9,1,1
2019200824745,2,1,1,1,27,6,3,0,0,0,0,0,8,-1,-1
2019200824794,1,1,3,2,17,4,3,1,1,0,0,2,0,1,1
2019200824862,1,1,1,2,26,6,3,0,0,0,0,0,9,1,2
2019200824862,1,2,2,2,8,2,3,0,0,1,0,0,9,1,2
2019200825140,1,1,3,1,44,7,3,5,1,0,0,2,0,1,1
2019200825140,1,2,3,1,8,2,3,5,1,0,0,0,0,1,1
2019200825177,1,1,1,1,37,7,3,0,0,0,0,0,9,1,1
2019200825426,1,1,1,1,50,8,2,0,0,0,0,0,9,1,5
2019200825571,2,1,1,2,39,7,3,0,0,0,0,0,9,1,2
2019200825611,1,1,1,1,19,4,2,0,0,0,0,0,9,-1,-1
2019200825611,2,2,2,2,22,5,2,0,0,1,0,0,9,-1,-1
2019200825611,2,3,1,1,21,5,2,0,0,0,0,0,9,1,2
2019200825884,1,1,3,1,8,2,3,5,4,0,0,0,0,1,1
2019200825884,1,2,3,1,7,2,3,5,4,0,0,0,0,1,1
2019200825901,2,1,2,2,31,6,3,0,0,1,0,0,9,1,10
2019200825985,1,1,1,1,30,6,2,0,0,0,0,0,9,1,1
2019200825985,2,2,1,1,42,7,2,0,0,0,0,0,9,1,8
2019200825985,2,3,2,2,34,6,2,0,0,1,0,0,9,1,8
2019200825985,2,4,2,2,3,1,2,0,0,2,0,0,9,1,8
2019200825985,2,5,2,2,0,1,2,0,0,2,0,0,9,1,8
2019200825985,2,6,2,2,5,1,2,0,0,2,0,0,9,1,8
2019200825985,2,7,2,2,8,2,2,0,0,2,0,0,9,1,8
2019200825985,2,8,2,2,9,2,2,0,0,2,0,0,9,1,8
2019200826262,1,1,3,1,69,10,2,6,9,0,0,2,0,1,1
2019200826275,1,1,3,2,52,8,2,5,2,0,0,2,0,1,2
2019200826279,1,1,1,2,24,5,2,0,0,0,0,0,9,1,2
2019200826295,1,1,1,1,52,8,3,0,0,0,0,0,19,1,2
2019200826299,1,1,3,1,66,10,2,5,3,0,0,2,0,1,2
2019200826371,2,1,1,2,19,4,3,0,0,0,0,0,9,1,8
2019200826371,2,2,2,2,46,8,3,0,0,1,0,0,9,1,8
2019200826373,1,1,1,2,-1,-1,3,0,0,0,0,0,9,1,2
2019200826380,2,1,1,1,12,3,3,0,0,0,0,0,1,1,2
2019200826389,1,1,1,1,-1,-1,3,0,0,0,0,0,19,1,5
2019200826389,2,2,1,2,43,7,3,0,0,0,0,0,9,1,5
2019200826407,1,1,3,1,7,2,3,5,3,0,0,0,0,1,1
2019200826436,1,1,3,1,59,9,3,10,1,0,0,2,0,1,4
2019200826441,1,1,3,2,22,5,3,1,4,0,0,2,0,1,1
2019200826480,1,1,1,1,45,7,3,0,0,0,0,0,9,-1,-1
2019200826480,2,2,1,1,53,8,3,0,0,0,0,0,19,1,1
2019200826482,1,1,1,1,57,9,3,0,0,0,0,0,9,1,1
2019200826492,1,1,3,2,46,8,3,5,9,0,0,2,0,1,1
2019200826503,2,1,1,1,37,7,3,0,0,0,0,0,9,1,10
2019200826503,2,2,2,1,68,10,3,0,0,1,0,0,9,1,3
2019200826518,2,1,2,2,6,2,3,0,0,1,0,0,9,1,1
2019200826533,2,1,1,2,-1,-1,3,0,0,0,0,0,9,1,2
2019200826533,2,2,2,1,-1,-1,3,0,0,-1,0,0,9,1,2
2019200826533,2,3,2,2,-1,-1,3,0,0,-1,0,0,9,1,2
2019200826533,2,4,2,2,-1,-1,3,0,0,-1,0,0,9,-1,-1
2019200826651,1,2,3,1,12,3,3,5,3,0,0,0,0,1,1
2019200826743,1,1,3,2,14,3,2,1,1,0,0,0,0,1,3
2019200826797,1,1,1,1,17,4,2,0,0,0,0,0,3,1,1
2019200826813,2,1,1,1,48,8,3,0,0,0,0,0,9,-1,-1
